labelURN	imageURN
urn:cite:botcar:catesbyLabels.penOnPage66.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495
urn:cite:botcar:catesbyLabels.penOnPage421.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_068_0449
urn:cite:botcar:catesbyLabels.penOnPage160.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492
urn:cite:botcar:catesbyLabels.penOnPage232.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445
urn:cite:botcar:catesbyLabels.penOnPage417.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496
urn:cite:botcar:catesbyLabels.penOnPage200.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461
urn:cite:botcar:catesbyLabels.penOnPage85.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483
urn:cite:botcar:catesbyLabels.penOnPage98.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492
urn:cite:botcar:catesbyLabels.penOnPage253.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454
urn:cite:botcar:catesbyLabels.penOnPage89.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470
urn:cite:botcar:catesbyLabels.penOnPage372.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_014_0498
urn:cite:botcar:catesbyLabels.penOnPage260.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_011_0500
urn:cite:botcar:catesbyLabels.penOnPage391.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503
urn:cite:botcar:catesbyLabels.penOnPage331.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
urn:cite:botcar:catesbyLabels.penOnPage72.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490
urn:cite:botcar:catesbyLabels.penOnPage76.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489
urn:cite:botcar:catesbyLabels.penOnPage137.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_070_0443
urn:cite:botcar:catesbyLabels.penOnPage243.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432
urn:cite:botcar:catesbyLabels.penOnPage127.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0438
urn:cite:botcar:catesbyLabels.penOnPage188.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442
urn:cite:botcar:catesbyLabels.penOnPage194.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441
urn:cite:botcar:catesbyLabels.penOnPage431.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444
urn:cite:botcar:catesbyLabels.penOnPage262.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497
urn:cite:botcar:catesbyLabels.penOnPage389.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431
urn:cite:botcar:catesbyLabels.penOnPage68.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425
urn:cite:botcar:catesbyLabels.penOnPage48.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_068_0589
urn:cite:botcar:catesbyLabels.penOnPage8.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642
urn:cite:botcar:catesbyLabels.penOnPage50.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_109_0550
urn:cite:botcar:catesbyLabels.penOnPage182.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608
urn:cite:botcar:catesbyLabels.penOnPage257.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461
urn:cite:botcar:catesbyLabels.penOnPage118.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445
urn:cite:botcar:catesbyLabels.penOnPage306.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451
urn:cite:botcar:catesbyLabels.penOnPage82.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474
urn:cite:botcar:catesbyLabels.penOnPage108.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507
urn:cite:botcar:catesbyLabels.penOnPage88.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_138_0517
urn:cite:botcar:catesbyLabels.penOnPage209.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462
