speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Sarraceniarubra,tsn:22002,urn:cite:botcar:family.Sarraceniaceae,urn:cite:botcar:genus.Sarracenia,"Sarracenia rubra Walter","**Sarracenia rubra Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Saururuscernuus,tsn:18221,urn:cite:botcar:family.Saururaceae,urn:cite:botcar:genus.Saururus,"Saururus cernuus L.","**Saururus cernuus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Scirpuscyperinus,tsn:40228,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Scirpus,"Scirpus cyperinus (L.) Kunth","**Scirpus cyperinus (L.) Kunth**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Scutellariaelliptica,tsn:32796,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Scutellaria,"Scutellaria elliptica Muhl. ex Spreng.","**Scutellaria elliptica Muhl. ex Spreng.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Selaginellaapoda,tsn:17066,urn:cite:botcar:family.Selaginellaceae,urn:cite:botcar:genus.Selaginella,"Selaginella apoda (L.) Spring","**Selaginella apoda (L.) Spring**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sennaoccidentalis,tsn:505166,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Senna,"Senna occidentalis (L.) Link","**Senna occidentalis (L.) Link**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sericocarpusasteroides,tsn:508089,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Sericocarpus,"Sericocarpus asteroides (L.) BSP","**Sericocarpus asteroides (L.) BSP**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sericocarpustortifolius,tsn:508091,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Sericocarpus,"Sericocarpus tortifolius (Michx.) Nees","**Sericocarpus tortifolius (Michx.) Nees**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Setariamagna,tsn:41230,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Setaria,"Setaria magna Griseb.","**Setaria magna Griseb.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Setariaparviflora,tsn:505191,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Setaria,"Setaria parviflora (Poir.) Kergu_len","**Setaria parviflora (Poir.) Kergu_len**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
