"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Sabatiastellaris","Sabatia stellaris Pursh",30004
"urn:cite:botcar:species.Saccharumgiganteum","Saccharum giganteum (Walter) Pers.",504933
"urn:cite:botcar:species.Salvialyrata","Salvia lyrata L.",32690
"urn:cite:botcar:species.Sarraceniaminor","Sarracenia minor Walter",21999
"urn:cite:botcar:species.Sarraceniarubra","Sarracenia rubra Walter",22002
"urn:cite:botcar:species.Saururuscernuus","Saururus cernuus L.",18221
"urn:cite:botcar:species.Scirpuscyperinus","Scirpus cyperinus (L.) Kunth",40228
"urn:cite:botcar:species.Scutellariaelliptica","Scutellaria elliptica Muhl. ex Spreng.",32796
"urn:cite:botcar:species.Selaginellaapoda","Selaginella apoda (L.) Spring",17066
"urn:cite:botcar:species.Sennaoccidentalis","Senna occidentalis (L.) Link",505166
"urn:cite:botcar:species.Sericocarpusasteroides","Sericocarpus asteroides (L.) BSP",508089
"urn:cite:botcar:species.Sericocarpustortifolius","Sericocarpus tortifolius (Michx.) Nees",508091
"urn:cite:botcar:species.Setariamagna","Setaria magna Griseb.",41230
"urn:cite:botcar:species.Setariaparviflora","Setaria parviflora (Poir.) Kergu_len",505191
"urn:cite:botcar:species.Seymeriacassioides","Seymeria cassioides (J.F. Gmel.) S.F. Blake",34043
"urn:cite:botcar:species.Seymeriapectinata","Seymeria pectinata Pursh",34045
"urn:cite:botcar:species.Sidarhombifolia","Sida rhombifolia L.",21731
"urn:cite:botcar:species.Silenevirginica","Silene virginica L.",20141
"urn:cite:botcar:species.Silphiumasteriscus","Silphium asteriscus L.",38387
"urn:cite:botcar:species.Smallanthusuvedalius","Smallanthus uvedalius (Linnaeus) Mackenzie ex Small",505252
"urn:cite:botcar:species.Smilaxauriculata","Smilax auriculata Walter",43349
"urn:cite:botcar:species.Smilaxpumila","Smilax pumila Walter",43361
"urn:cite:botcar:species.Solidagofistulosa","Solidago fistulosa Mill.",36254
"urn:cite:botcar:species.Solidagoodora","Solidago odora Aiton",36284
"urn:cite:botcar:species.Solidagopetiolaris","Solidago petiolaris Aiton var. petiolaris",36289
"urn:cite:botcar:species.Solidagosempervirens","Solidago sempervirens L.",36226
"urn:cite:botcar:species.Spigeliamarilandica","Spigelia marilandica (L.) L.",505330
"urn:cite:botcar:species.Sporobolusindicus","Sporobolus indicus (L.) R. Br.",42140
"urn:cite:botcar:species.Stachysindet","Stachys indet.",to be added
"urn:cite:botcar:species.Stillingiasylvatica","Stillingia sylvatica Garden ex Linnaeus ssp. sylvatica",28414
"urn:cite:botcar:species.Styraxamericanus","Styrax americanus Lam.",505398
"urn:cite:botcar:species.Symphyotrichumconcolor","Symphyotrichum concolor (L.) G.L. Nesom",522192
"urn:cite:botcar:species.Symphyotrichumdumosum","Symphyotrichum dumosum (L.) G.L. Nesom",522200
