genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Leucothoe,Leucothoe,urn:cite:botcar:family.Ericaceae,to be added,*Leucothoe*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Liatris,Liatris,urn:cite:botcar:family.Asteraceae,to be added,*Liatris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lilium,Lilium,urn:cite:botcar:family.Liliaceae,to be added,*Lilium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Liquidambar,Liquidambar,urn:cite:botcar:family.Altingiaceae,to be added,*Liquidambar*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Liriodendron,Liriodendron,urn:cite:botcar:family.Magnoliaceae,to be added,*Liriodendron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lithospermum,Lithospermum,urn:cite:botcar:family.Boraginaceae,to be added,*Lithospermum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Litsea,Litsea,urn:cite:botcar:family.Lauraceae,to be added,*Litsea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lobelia,Lobelia,urn:cite:botcar:family.Campanulaceae,to be added,*Lobelia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ludwigia,Ludwigia,urn:cite:botcar:family.Onagraceae,to be added,*Ludwigia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lupinus,Lupinus,urn:cite:botcar:family.Fabaceae,to be added,*Lupinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lycopodiella,Lycopodiella,urn:cite:botcar:family.Lycopodiaceae,to be added,*Lycopodiella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lycopus,Lycopus,urn:cite:botcar:family.Lamiaceae,to be added,*Lycopus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lyonia,Lyonia,urn:cite:botcar:family.Ericaceae,to be added,*Lyonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lysimachia,Lysimachia,urn:cite:botcar:family.Primulaceae,to be added,*Lysimachia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Maianthemum,Maianthemum,urn:cite:botcar:family.Ruscaceae,to be added,*Maianthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Marshallia,Marshallia,urn:cite:botcar:family.Asteraceae,to be added,*Marshallia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Matelea,Matelea,urn:cite:botcar:family.Apocynaceae,to be added,*Matelea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Medeola,Medeola,urn:cite:botcar:family.Liliaceae,to be added,*Medeola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Melanthium,Melanthium,urn:cite:botcar:family.Melanthiaceae,to be added,*Melanthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Melothria,Melothria,urn:cite:botcar:family.Cucurbitaceae,to be added,*Melothria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Menispermum,Menispermum,urn:cite:botcar:family.Menispermaceae,to be added,*Menispermum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Metopium,Metopium,urn:cite:botcar:family.Anacardiaceae,to be added,*Metopium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Mimosa,Mimosa,urn:cite:botcar:family.Fabaceae,to be added,*Mimosa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
